id,funcionarioId,ferramentaId,status,dataConcessao,concedidoPor
ac0056,u014,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0057,u015,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0058,u015,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0059,u015,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0060,u015,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0061,u016,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0062,u016,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0063,u016,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0064,u016,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0065,u017,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0066,u017,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0067,u017,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0068,u017,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0069,u018,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0070,u018,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0071,u018,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0072,u018,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0073,u019,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0074,u019,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0075,u019,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0076,u019,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0077,u020,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0078,u020,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0079,u020,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0080,u020,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0081,u021,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0082,u021,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0083,u021,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0084,u021,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0085,u022,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0086,u022,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0087,u022,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0088,u022,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0089,u023,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0090,u023,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0091,u023,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0092,u023,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0093,u024,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0094,u024,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0095,u024,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0096,u024,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0097,u025,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0098,u025,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0099,u025,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0100,u025,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0101,u026,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0102,u026,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0103,u026,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0104,u026,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0105,u027,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0106,u027,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0107,u027,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0108,u027,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0109,u028,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0110,u028,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0111,u028,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0112,u028,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0113,u029,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0114,u029,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0115,u029,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0116,u029,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0117,u030,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0118,u030,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0119,u030,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0120,u030,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0121,u031,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0122,u031,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0123,u031,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0124,u031,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0125,u032,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0126,u032,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0127,u032,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0128,u032,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0129,u033,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0130,u033,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0131,u033,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0132,u033,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0133,u034,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0134,u034,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0135,u034,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0136,u034,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0137,u035,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0138,u035,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0139,u035,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0140,u035,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0141,u036,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0142,u036,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0143,u036,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0144,u036,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0145,u037,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0146,u037,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0147,u037,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0148,u037,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0149,u038,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0150,u038,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0151,u038,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0152,u038,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0153,u039,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0154,u039,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0155,u039,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0156,u039,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0157,u040,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0158,u040,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0159,u040,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0160,u040,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0161,u041,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0162,u041,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0163,u041,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0164,u041,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0165,u042,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0166,u042,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0167,u042,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0168,u042,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0169,u043,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0170,u043,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0171,u043,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0172,u043,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0173,u044,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0174,u044,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0175,u044,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0176,u044,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0177,u045,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0178,u045,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0179,u045,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0180,u045,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0181,u046,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0182,u046,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0183,u046,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0184,u046,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0185,u047,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0186,u047,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0187,u047,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0188,u047,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0189,u048,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0190,u048,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0191,u048,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0192,u048,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0193,u049,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0194,u049,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0195,u049,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0196,u049,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0197,u050,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0198,u050,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0199,u050,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0200,u050,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0201,u051,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0202,u051,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0203,u051,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0204,u051,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0205,u052,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0206,u052,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0207,u052,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0208,u052,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0209,u053,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0210,u053,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0211,u053,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0212,u053,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0213,u054,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0214,u054,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0215,u054,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0216,u054,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0217,u055,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0218,u055,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0219,u055,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0220,u055,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0221,u056,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0222,u056,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0223,u056,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0224,u056,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0225,u057,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0226,u057,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0227,u057,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0228,u057,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0229,u058,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0230,u058,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0231,u058,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0232,u058,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0233,u059,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0234,u059,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0235,u059,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0236,u059,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0237,u060,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0238,u060,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0239,u060,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0240,u060,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0241,u061,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0242,u061,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0243,u061,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0244,u061,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0245,u062,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0246,u062,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0247,u062,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0248,u062,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0249,u063,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0250,u063,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0251,u063,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0252,u063,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0253,u064,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0254,u064,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0255,u064,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0256,u064,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0257,u065,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0258,u065,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0259,u065,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0260,u065,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0261,u066,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0262,u066,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0263,u066,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0264,u066,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0265,u067,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0266,u067,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0267,u067,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0268,u067,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0269,u068,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0270,u068,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0271,u068,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0272,u068,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0273,u069,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0274,u069,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0275,u069,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0276,u069,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0277,u070,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0278,u070,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0279,u070,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0280,u070,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0281,u071,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0282,u071,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0283,u071,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0284,u071,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0285,u072,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0286,u072,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0287,u072,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0288,u072,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0289,u073,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0290,u073,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0291,u073,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0292,u073,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0293,u074,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0294,u074,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0295,u074,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0296,u074,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0297,u075,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0298,u075,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0299,u075,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0300,u075,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0301,u076,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0302,u076,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0303,u076,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0304,u076,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0305,u077,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0306,u077,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0307,u077,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0308,u077,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0309,u078,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0310,u078,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0311,u078,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0312,u078,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0313,u079,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0314,u079,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0315,u079,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0316,u079,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0317,u080,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0318,u080,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0319,u080,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0320,u080,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0321,u081,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0322,u081,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0323,u081,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0324,u081,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0325,u082,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0326,u082,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0327,u082,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0328,u082,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0329,u083,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0330,u083,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0331,u083,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0332,u083,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0333,u084,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0334,u084,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0335,u084,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0336,u084,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0337,u085,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0338,u085,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0339,u085,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0340,u085,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0341,u086,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0342,u086,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0343,u086,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0344,u086,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0345,u087,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0346,u087,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0347,u087,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0348,u087,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0349,u088,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0350,u088,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0351,u088,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0352,u088,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0353,u089,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0354,u089,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0355,u089,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0356,u089,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0357,u090,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0358,u090,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0359,u090,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0360,u090,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0361,u091,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0362,u091,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0363,u091,f08,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0364,u091,f03,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0365,u092,f01,Ativo,2026-05-28,daniel.lopes@suno.com.br
ac0366,u092,f02,Ativo,2026-05-28,daniel.lopes@suno.com.br
